,logFC,AveExpr,t,P.Value,adj.P.Val,B,threshold
256782_at,-0.083351493,2.725037858,-0.727682557,0.481340063,0.96904122,-4.739601435,FALSE
253501_at,0.104194368,6.053484593,0.727658459,0.481354264,0.96904122,-4.73960853,FALSE
262308_at,0.124594483,8.157029479,0.727628729,0.481371785,0.96904122,-4.739617283,FALSE
259843_at,0.079843331,3.018817059,0.727435004,0.481485962,0.96904122,-4.739674314,FALSE
251497_at,-0.161043543,6.045781487,-0.727431236,0.481488183,0.96904122,-4.739675423,FALSE
263140_at,0.069777776,2.768369701,0.72725959,0.481589362,0.96904122,-4.739725942,FALSE
252454_at,0.07616509,2.447278607,0.727169478,0.481642485,0.96904122,-4.739752461,FALSE
265706_at,0.095884525,3.38026369,0.727083489,0.48169318,0.96904122,-4.739777762,FALSE
253155_at,0.251818068,8.485541898,0.726953447,0.481769853,0.96904122,-4.739816022,FALSE
257954_at,-0.123304219,3.575385066,-0.726711337,0.481912623,0.96904122,-4.739887238,FALSE
262986_at,0.184335119,7.31756713,0.726691256,0.481924466,0.96904122,-4.739893143,FALSE
246361_s_at,0.058004824,2.487430625,0.726443931,0.48207034,0.96904122,-4.73996587,FALSE
248050_at,-0.092172706,11.21851787,-0.726290065,0.482161105,0.96904122,-4.740011104,FALSE
246245_at,-0.080379273,8.371869239,-0.72622926,0.482196977,0.96904122,-4.740028978,FALSE
256886_at,0.074294002,2.455139005,0.726157849,0.482239107,0.96904122,-4.740049967,FALSE
265061_at,0.102860689,3.9614649,0.72607793,0.48228626,0.96904122,-4.740073455,FALSE
256654_at,0.113206515,3.775905478,0.726048752,0.482303476,0.96904122,-4.74008203,FALSE
257988_at,0.080061715,7.614436601,0.72604541,0.482305448,0.96904122,-4.740083012,FALSE
261847_at,0.078987676,2.757478495,0.725970965,0.482349375,0.96904122,-4.740104888,FALSE
250273_at,-0.08345559,8.607110756,-0.725890666,0.482396759,0.96904122,-4.740128483,FALSE
257516_at,0.236025133,5.530358237,0.725837884,0.482427906,0.96904122,-4.740143991,FALSE
247953_at,-0.131631381,3.058968761,-0.725734054,0.482489182,0.96904122,-4.740174494,FALSE
254154_at,-0.088711106,4.865857647,-0.725462567,0.482649425,0.96904122,-4.740254234,FALSE
AFFX-Athal-Ubq_5_f_at,0.077621358,10.91433674,0.725352378,0.482714472,0.96904122,-4.740286591,FALSE
245444_at,0.061404533,3.097604491,0.725332726,0.482726073,0.96904122,-4.740292362,FALSE
261657_at,-0.081969238,2.928974316,-0.725290337,0.482751098,0.96904122,-4.740304807,FALSE
267384_at,0.174771986,4.530601016,0.725269297,0.48276352,0.96904122,-4.740310985,FALSE
250429_at,0.154987338,4.653037408,0.725182715,0.482814639,0.96904122,-4.740336404,FALSE
246707_at,0.092399128,3.136121912,0.725166822,0.482824022,0.96904122,-4.74034107,FALSE
263985_at,-0.113887051,6.366211674,-0.725146523,0.482836007,0.96904122,-4.740347029,FALSE
247330_at,0.09028839,8.36979813,0.725043832,0.482896643,0.96904122,-4.740377173,FALSE
262991_at,-0.060173768,3.056156309,-0.725039954,0.482898932,0.96904122,-4.740378311,FALSE
262226_at,0.190583403,7.563316146,0.725018764,0.482911445,0.96904122,-4.740384531,FALSE
267053_s_at,0.498978327,7.17220523,0.724999165,0.482923018,0.96904122,-4.740390284,FALSE
246404_at,-0.104152805,5.928817329,-0.724939036,0.482958526,0.96904122,-4.740407931,FALSE
253595_at,0.076501227,2.529464071,0.724928114,0.482964975,0.96904122,-4.740411137,FALSE
248746_at,-0.109416382,10.49452961,-0.724720245,0.483087739,0.96904122,-4.740472135,FALSE
265997_at,-0.055842338,4.474757593,-0.724601034,0.483158152,0.96904122,-4.740507111,FALSE
252735_at,0.060229633,2.59658136,0.724555052,0.483185313,0.96904122,-4.7405206,FALSE
245173_at,-0.367779342,4.471490544,-0.724527218,0.483201755,0.96904122,-4.740528765,FALSE
248764_at,0.089442513,7.519499669,0.724499886,0.4832179,0.96904122,-4.740536783,FALSE
254516_at,-0.088632832,2.675709233,-0.724481945,0.483228499,0.96904122,-4.740542045,FALSE
249027_at,0.135001443,9.772165805,0.724423989,0.483262736,0.96904122,-4.740559045,FALSE
259417_at,-0.111480176,10.7803549,-0.724420053,0.483265061,0.96904122,-4.740560199,FALSE
259758_s_at,0.140556655,4.048735964,0.724379589,0.483288967,0.96904122,-4.740572067,FALSE
254610_at,0.146188845,5.343051711,0.724123878,0.483440051,0.96904122,-4.740647054,FALSE
